Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Max Aarons,eng ENG,DF,Norwich City,21,2000,32.0,0.00,0.41,0.06,15.4,0.41,0.06,0.00,0.00,20.5,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches,774cf58b
2,Che Adams,sct SCO,FW,Southampton,25,1996,22.7,0.31,2.16,01.06,49.0,2.16,01.06,0.14,0.29,12.9,0.00,0.00,0.00,0.31,0.31,0.14,-0.00,-0.00,Matches,f2bf1b0f
3,Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,20.3,0.05,0.64,0.20,30.8,0.64,0.20,0.08,0.25,16.9,0.00,0.00,0.00,0.03,0.03,0.06,0.01,0.01,Matches,9b398aea
4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,0.05,0.32,0.05,14.3,0.32,0.05,0.14,1.00,9.1,0.00,0.00,0.00,0.04,0.04,0.11,0.01,0.01,Matches,a8c0acb7
5,Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,0.19,0.49,0.19,40.0,0.49,0.20,0.40,1.00,5.8,0.00,0.00,0.00,0.11,0.11,0.23,0.09,0.09,Matches,eaeca114
6,Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,12.6,0.08,0.32,0.08,25.0,0.32,0.08,0.25,1.00,16.7,0.00,0.00,0.00,0.04,0.04,0.13,0.04,0.04,Matches,b827d5b3
7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17.0,0.06,1.47,0.35,24.0,1.47,0.35,0.04,0.17,18.2,0.00,0.00,0.00,0.11,0.11,0.08,-0.05,-0.05,Matches,77e84962
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,0.06,1.61,0.44,27.5,1.61,0.44,0.04,0.14,23.0,0.16,0.00,0.00,0.09,0.09,0.05,-0.02,-0.02,Matches,cd1acf9d
9,Alisson,br BRA,GK,Liverpool,28,1992,36.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,7a2e46a8
10,Allan,br BRA,MF,Everton,30,1991,24.3,0.00,0.29,0.12,42.9,0.29,0.12,0.00,0.00,24.1,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches,cc700722
11,Dele Alli,eng ENG,MFFW,Tottenham,25,1996,7.3,0.14,0.55,0.27,50.0,0.55,0.27,0.00,0.00,18.2,0.00,0.14,0.14,0.21,0.10,0.18,-0.07,-0.10,Matches,cea4ee8f
12,Dele Alli,eng ENG,MF,Everton,25,1996,3.8,0.00,0.79,0.00,0.0,0.80,0.00,0.00,,19.3,0.00,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches,cea4ee8f
13,Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,19.1,0.05,1.68,0.37,21.9,1.68,0.37,0.03,0.14,18.7,0.00,0.00,0.00,0.11,0.11,0.06,-0.06,-0.06,Matches,862a1c15
14,Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,0.17,1.78,0.41,23.3,1.79,0.42,0.09,0.40,18.9,0.37,0.00,0.00,0.14,0.14,0.08,0.03,0.03,Matches,f4290206
15,Steven Alzate,co COL,MF,Brighton,22,1998,4.5,0.00,0.22,0.22,100.0,0.22,0.22,0.00,0.00,18.4,0.00,0.00,0.00,0.02,0.02,0.07,-0.02,-0.02,Matches,ad1f61f3
16,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,0.00,0.08,0.04,50.0,0.08,0.04,0.00,0.00,32.1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches,1a4ef233
17,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,0.00,0.25,0.09,37.5,0.25,0.09,0.00,0.00,14.0,0.03,0.00,0.00,0.02,0.02,0.07,-0.02,-0.02,Matches,e34fc66d
18,Michail Antonio,jm JAM,FW,West Ham,31,1990,33.0,0.30,2.52,0.82,32.5,2.51,0.82,0.12,0.37,14.3,0.00,0.00,0.03,0.34,0.33,0.13,-0.03,-0.02,Matches,ac05f970
19,Cameron Archer,eng ENG,MFFW,Aston Villa,19,2001,0.3,0.00,3.33,0.00,0.0,3.33,0.00,0.00,,13.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches,05e8ca6d
20,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,2f965a72
21,Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,0.13,2.99,0.89,29.8,2.99,0.89,0.04,0.14,17.0,0.00,0.00,0.00,0.27,0.27,0.09,-0.15,-0.15,Matches,68c720b5
22,Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,0.12,2.32,0.55,23.7,2.32,0.55,0.05,0.22,19.8,0.00,0.00,0.00,0.17,0.17,0.07,-0.05,-0.05,Matches,97333cf5
23,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,28d596a0
24,Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,b391383a
25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,0.35,2.87,1.39,48.5,2.86,1.39,0.12,0.25,14.2,0.00,0.00,0.17,0.50,0.36,0.13,-0.16,-0.01,Matches,d5dd5f1f
26,Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,0.13,1.56,0.36,22.9,1.56,0.36,0.09,0.38,16.4,0.04,0.00,0.00,0.17,0.17,0.11,-0.03,-0.03,Matches,da052c14
27,Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,0.08,0.75,0.12,15.8,0.75,0.12,0.11,0.67,12.8,0.00,0.00,0.00,0.06,0.06,0.09,0.02,0.02,Matches,420d7c7d
28,César Azpilicueta,es ESP,DF,Chelsea,31,1989,23.0,0.04,0.57,0.17,30.8,0.57,0.17,0.08,0.25,13.6,0.00,0.00,0.00,0.05,0.05,0.09,-0.01,-0.01,Matches,53cad200
29,Daniel Bachmann,at AUT,GK,Watford,27,1994,12.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,1c0eea98
30,Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,8.5,0.12,2.47,0.94,38.1,2.48,0.95,0.05,0.13,18.7,0.47,0.00,0.00,0.19,0.19,0.08,-0.07,-0.07,Matches,3a233281
31,Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,a1232f4e
32,Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,0.00,3.75,0.00,0.0,3.86,0.00,0.00,,14.0,0.00,0.00,0.00,0.37,0.37,0.09,-0.37,-0.37,Matches,31822f8c
33,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,0.32,3.23,0.81,25.0,3.22,0.81,0.10,0.40,13.6,0.00,0.00,0.00,0.63,0.63,0.20,-0.31,-0.31,Matches,93feac6e
34,Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,0.10,1.19,0.40,33.3,1.19,0.40,0.08,0.25,18.9,0.00,0.00,0.00,0.07,0.07,0.06,0.03,0.03,Matches,2886c9b5
35,Ross Barkley,eng ENG,MF,Chelsea,27,1993,2.0,0.50,4.50,2.00,44.4,4.53,02.01,0.11,0.25,20.9,0.00,0.00,0.00,0.60,0.60,0.13,-0.10,-0.10,Matches,3a24769f
36,Ashley Barnes,eng ENG,FW,Burnley,31,1989,9.0,0.11,1.67,0.56,33.3,1.67,0.56,0.00,0.00,16.0,0.00,0.11,0.11,0.20,0.11,0.07,-0.09,-0.11,Matches,2691c772
37,Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,23.3,0.26,2.88,01.03,35.8,2.87,01.03,0.09,0.25,15.7,0.00,0.00,0.00,0.29,0.29,0.10,-0.03,-0.03,Matches,3ea50f67
38,Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,0.00,0.63,0.00,0.0,0.62,0.00,0.00,,25.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches,cd4256d3
39,Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,0.00,0.22,0.00,0.0,0.22,0.00,0.00,,10.5,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches,30db8574
40,Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,0.14,0.65,0.24,36.8,0.65,0.24,0.21,0.57,7.9,0.00,0.00,0.00,0.08,0.08,0.13,0.05,0.05,Matches,4115ce4e
41,Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,1.25,2.50,1.25,50.0,2.40,1.20,0.50,1.00,9.3,0.00,0.00,0.00,0.87,0.87,0.36,0.37,0.37,Matches,50dc94ce
42,Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,0.19,0.93,0.19,20.0,0.93,0.19,0.20,1.00,19.4,0.00,0.00,0.00,0.17,0.17,0.18,0.02,0.02,Matches,50dc94ce
43,Asmir Begović,ba BIH,GK,Everton,34,1987,3.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,7b4de647
44,Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,24.1,0.33,2.61,0.91,34.9,2.62,0.91,0.13,0.36,18.7,0.12,0.00,0.00,0.21,0.21,0.08,0.12,0.12,Matches,5a04fd92
45,Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,0.00,0.93,0.13,14.3,0.93,0.13,0.00,0.00,18.6,0.00,0.00,0.00,0.06,0.06,0.06,-0.06,-0.06,Matches,3b8674e6
46,Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,0.31,03.07,01.02,33.3,03.07,01.02,0.10,0.31,11.4,0.00,0.00,0.00,0.43,0.43,0.14,-0.11,-0.11,Matches,ab070c55
47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,0.00,1.56,0.33,21.1,1.55,0.33,0.00,0.00,19.7,0.16,0.00,0.00,0.14,0.14,0.09,-0.14,-0.14,Matches,f72293fc
48,Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,6.3,0.48,03.02,1.59,52.6,03.03,1.59,0.16,0.30,15.9,0.00,0.00,0.00,0.49,0.49,0.16,-0.02,-0.02,Matches,a29b1131
49,Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,1226327
50,Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,407db0d5
51,Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,0.04,0.89,0.21,23.8,0.90,0.21,0.05,0.20,24.0,0.04,0.00,0.00,0.04,0.04,0.04,0.00,0.00,Matches,6c203af0
52,Willy Boly,ci CIV,DF,Wolves,30,1991,10.0,0.00,0.20,0.10,50.0,0.20,0.10,0.00,0.00,8.0,0.00,0.00,0.00,0.02,0.02,0.08,-0.02,-0.02,Matches,a4ac4b8f
53,Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,0.36,2.42,1.00,41.3,2.41,1.00,0.15,0.36,15.4,0.00,0.00,0.00,0.34,0.34,0.14,0.03,0.03,Matches,79c84d1c
54,Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,0.23,0.70,0.47,66.7,0.70,0.46,0.33,0.50,12.7,0.00,0.00,0.00,0.09,0.09,0.14,0.14,0.14,Matches,c1949191
55,Armando Broja,al ALB,FW,Southampton,19,2001,21.9,0.27,2.19,0.87,39.6,2.19,0.87,0.13,0.32,12.1,0.00,0.00,0.00,0.32,0.32,0.15,-0.05,-0.05,Matches,97220da2
56,Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,0.06,0.88,0.27,31.0,0.88,0.27,0.07,0.22,22.2,0.12,0.00,0.00,0.04,0.04,0.05,0.02,0.02,Matches,47369df8
57,Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,a2081c6b
58,Bryan,es ESP,FWMF,Tottenham,20,2001,1.0,0.00,1.00,1.00,100.0,0.96,0.96,0.00,0.00,16.2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches,7b5ab7f2
59,Emi Buendía,ar ARG,FWMF,Aston Villa,24,1996,21.1,0.19,02.09,0.66,31.8,02.09,0.66,0.09,0.29,17.0,0.00,0.00,0.00,0.15,0.15,0.07,0.04,0.04,Matches,66b76d44
60,Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16.0,0.00,0.69,0.06,9.1,0.69,0.06,0.00,0.00,9.3,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches,b2d31e83
61,Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,0.09,0.61,0.26,42.9,0.62,0.26,0.14,0.33,7.4,0.00,0.00,0.00,0.11,0.11,0.18,-0.03,-0.03,Matches,b2d31e83
62,Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,cc70a1d5
63,Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,0.00,0.61,0.09,14.3,0.61,0.09,0.00,0.00,8.9,0.00,0.00,0.00,0.08,0.08,0.13,-0.08,-0.08,Matches,1bf811d4
64,Willy Caballero,ar ARG,GK,Southampton,39,1981,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,a179d516
65,Moisés Caicedo,ec ECU,MF,Brighton,19,2001,7.3,0.14,1.37,0.55,40.0,1.36,0.55,0.10,0.25,17.5,0.00,0.00,0.00,0.11,0.11,0.08,0.03,0.03,Matches,16264a81
66,Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,14.3,0.35,2.10,0.77,36.7,2.10,0.77,0.10,0.27,13.1,0.00,0.14,0.21,0.48,0.32,0.15,-0.13,-0.11,Matches,59e6e5bf
67,Chem Campbell,wls WAL,MF,Wolves,18,2002,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,6f711f67
68,João Cancelo,pt POR,DF,Manchester City,27,1994,35.9,0.03,2.26,0.64,28.4,2.26,0.64,0.01,0.04,21.5,0.03,0.00,0.00,0.11,0.11,0.05,-0.09,-0.09,Matches,bd6351cd
69,Sergi Canós,es ESP,DF,Brentford,24,1997,23.1,0.13,1.43,0.52,36.4,1.43,0.52,0.09,0.25,16.4,0.04,0.00,0.00,0.13,0.13,0.09,0.00,0.00,Matches,1137759d
70,Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,4.9,0.00,0.82,0.00,0.0,0.82,0.00,0.00,,28.8,0.00,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches,f63d8a4b
71,Matty Cash,pl POL,DF,Aston Villa,23,1997,37.5,0.11,0.96,0.35,36.1,0.96,0.35,0.11,0.31,18.2,0.00,0.00,0.00,0.06,0.06,0.07,0.04,0.04,Matches,2389cdc2
72,Timothy Castagne,be BEL,DF,Leicester City,25,1995,23.6,0.04,0.30,0.13,42.9,0.30,0.13,0.14,0.33,14.5,0.00,0.00,0.00,0.03,0.03,0.11,0.01,0.01,Matches,197640fd
73,Jonny Castro,es ESP,DF,Wolves,27,1994,11.4,0.18,0.88,0.44,50.0,0.88,0.44,0.20,0.40,18.9,0.00,0.00,0.00,0.07,0.07,0.08,0.11,0.11,Matches,e28868f3
74,Craig Cathcart,nir NIR,DF,Watford,32,1989,26.6,0.00,0.11,0.00,0.0,0.11,0.00,0.00,,8.4,0.00,0.00,0.00,0.00,0.00,0.04,-0.00,-0.00,Matches,89e4b358
75,Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,8.5,0.24,2.12,0.71,33.3,2.11,0.70,0.11,0.33,11.4,0.00,0.00,0.00,0.40,0.40,0.19,-0.16,-0.16,Matches,527f063d
76,Kayky Chagas,br BRA,FW,Manchester City,18,2003,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,17734ea0
77,Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,16.1,0.19,0.56,0.43,77.8,0.56,0.43,0.33,0.43,18.4,0.00,0.00,0.00,0.06,0.06,0.11,0.12,0.12,Matches,5515376c
78,Calum Chambers,eng ENG,DF,Arsenal,26,1995,1.9,0.00,01.05,0.00,0.0,01.06,0.00,0.00,,20.3,0.00,0.00,0.00,0.05,0.05,0.04,-0.05,-0.05,Matches,dc6f5bdd
79,Calum Chambers,eng ENG,DF,Aston Villa,26,1995,9.2,0.11,0.33,0.11,33.3,0.32,0.11,0.33,1.00,14.7,0.00,0.00,0.00,0.02,0.02,0.08,0.09,0.09,Matches,dc6f5bdd
80,Daniel Chesters,eng ENG,MF,West Ham,19,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,240c8ab6
81,Ben Chilwell,eng ENG,DF,Chelsea,24,1996,6.0,0.50,2.17,1.00,46.2,2.16,1.00,0.23,0.50,17.9,0.00,0.00,0.00,0.20,0.20,0.09,0.30,0.30,Matches,d2424d1b
82,Chiquinho,pt POR,DFMF,Wolves,21,2000,2.3,0.00,2.17,0.87,40.0,2.16,0.87,0.00,0.00,11.1,0.00,0.00,0.00,0.13,0.13,0.06,-0.13,-0.13,Matches,dc6c2f02
83,Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,3.2,0.00,0.31,0.00,0.0,0.32,0.00,0.00,,12.8,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches,7d2d3329
84,Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,0.00,0.30,0.00,0.0,0.30,0.00,0.00,,19.6,0.00,0.00,0.00,0.02,0.02,0.08,-0.02,-0.02,Matches,1cb49278
85,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,17,2004,3.3,0.00,1.21,0.30,25.0,1.20,0.30,0.00,0.00,15.9,0.00,0.00,0.00,0.18,0.18,0.14,-0.18,-0.18,Matches,b2f9c73e
86,Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,11.3,0.00,0.62,0.09,14.3,0.62,0.09,0.00,0.00,7.0,0.00,0.00,0.00,0.07,0.07,0.11,-0.07,-0.07,Matches,2b91cf8e
87,Tom Cleverley,eng ENG,MF,Watford,31,1989,18.0,0.00,0.72,0.39,53.8,0.72,0.39,0.00,0.00,23.1,0.00,0.00,0.00,0.04,0.04,0.06,-0.04,-0.04,Matches,6cdd8245
88,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,15.0,0.00,0.20,0.13,66.7,0.20,0.13,0.00,0.00,24.5,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches,0442183b
89,Conor Coady,eng ENG,DF,Wolves,28,1993,37.3,0.11,0.32,0.11,33.3,0.32,0.11,0.33,1.00,11.7,0.00,0.00,0.00,0.05,0.05,0.16,0.05,0.05,Matches,2928dca2
90,Séamus Coleman,ie IRL,DF,Everton,32,1988,29.5,0.03,0.27,0.03,12.5,0.27,0.03,0.13,1.00,17.2,0.00,0.00,0.00,0.03,0.03,0.12,0.00,0.00,Matches,0420d84f
91,Nathan Collins,ie IRL,DF,Burnley,20,2001,18.6,0.11,0.81,0.27,33.3,0.81,0.27,0.13,0.40,8.4,0.00,0.00,0.00,0.09,0.09,0.10,0.02,0.02,Matches,a8c19eb8
92,Aaron Connolly,ie IRL,FW,Brighton,21,2000,1.7,0.00,1.18,0.00,0.0,1.15,0.00,0.00,,14.9,0.00,0.00,0.00,0.29,0.29,0.23,-0.29,-0.29,Matches,27c01749
93,Liam Cooper,sct SCO,DF,Leeds United,29,1991,20.2,0.00,0.25,0.05,20.0,0.25,0.05,0.00,0.00,10.2,0.00,0.00,0.00,0.01,0.01,0.06,-0.01,-0.01,Matches,dc64b8b3
94,Jack Cork,eng ENG,MF,Burnley,32,1989,18.6,0.05,0.38,0.05,14.3,0.38,0.05,0.14,1.00,17.4,0.00,0.00,0.00,0.04,0.04,0.11,0.01,0.01,Matches,74e12f1e
95,Maxwel Cornet,ci CIV,FWMF,Burnley,24,1996,19.6,0.46,2.35,1.12,47.8,2.34,1.12,0.20,0.41,16.6,0.20,0.00,0.05,0.34,0.30,0.13,0.12,0.16,Matches,beb391dd
96,Hélder Costa,ao ANG,MF,Leeds United,27,1994,0.2,0.00,5.00,0.00,0.0,04.09,0.00,0.00,,22.4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches,f13d02a6
97,Vladimír Coufal,cz CZE,DF,West Ham,28,1992,24.5,0.00,0.45,0.16,36.4,0.45,0.16,0.00,0.00,17.0,0.00,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,Matches,fdf3cb77
98,Philippe Coutinho,br BRA,MFFW,Aston Villa,29,1992,14.8,0.34,2.91,01.08,37.2,2.91,01.08,0.12,0.31,20.6,0.34,0.00,0.00,0.25,0.25,0.09,0.09,0.09,Matches,0ef89a37
99,Aaron Cresswell,eng ENG,DF,West Ham,31,1989,30.3,0.07,0.59,0.10,16.7,0.59,0.10,0.11,0.67,19.9,0.26,0.00,0.00,0.04,0.04,0.06,0.03,0.03,Matches,4f974391
100,Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,1.6,0.00,0.63,0.00,0.0,0.64,0.00,0.00,,10.0,0.00,0.00,0.00,0.06,0.06,0.08,-0.06,-0.06,Matches,4654e5f5
101,Cucho,co COL,FWMF,Watford,22,1999,12.7,0.39,2.76,0.79,28.6,2.75,0.78,0.14,0.50,18.7,0.39,0.00,0.00,0.20,0.20,0.07,0.20,0.20,Matches,71b47ab9
102,Marc Cucurella,es ESP,DF,Brighton,23,1998,34.3,0.03,0.52,0.09,16.7,0.52,0.09,0.06,0.33,20.9,0.00,0.00,0.00,0.02,0.02,0.04,0.01,0.01,Matches,1daec722
103,Luke Cundle,eng ENG,MF,Wolves,19,2002,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,cc3b8e78
104,Patson Daka,zm ZAM,FW,Leicester City,22,1998,12.9,0.39,02.02,1.16,57.7,02.02,1.16,0.19,0.33,15.4,0.00,0.00,0.00,0.36,0.36,0.18,0.02,0.02,Matches,ca45605e
105,Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,32.4,0.03,0.96,0.25,25.8,0.96,0.25,0.03,0.13,21.1,0.00,0.00,0.00,0.06,0.06,0.06,-0.03,-0.03,Matches,67ca8566
106,Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,20.0,0.00,0.65,0.20,30.8,0.65,0.20,0.00,0.00,21.2,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches,d9565625
107,Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,cde3309f
108,Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,2.9,0.00,0.34,0.00,0.0,0.35,0.00,0.00,,14.2,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches,60344e4f
109,Ben Davies,wls WAL,DF,Tottenham,28,1993,28.2,0.04,0.67,0.25,36.8,0.67,0.25,0.05,0.14,16.3,0.00,0.00,0.00,0.06,0.06,0.09,-0.03,-0.03,Matches,44781702
110,Tom Davies,eng ENG,MF,Everton,23,1998,2.6,0.38,2.31,0.77,33.3,2.31,0.77,0.17,0.50,16.4,0.00,0.00,0.00,0.35,0.35,0.15,0.04,0.04,Matches,9228b07c
111,Keinan Davis,eng ENG,FW,Aston Villa,23,1998,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,9deaf2c8
112,Craig Dawson,eng ENG,DF,West Ham,31,1990,30.6,0.07,0.82,0.16,20.0,0.82,0.16,0.08,0.40,7.7,0.00,0.00,0.00,0.09,0.09,0.12,-0.03,-0.03,Matches,3e9e06cb
113,Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,24.5,0.61,3.14,1.27,40.3,3.15,1.27,0.19,0.48,18.6,0.29,0.00,0.00,0.26,0.26,0.08,0.35,0.35,Matches,e46012d4
114,Troy Deeney,eng ENG,FW,Watford,33,1988,0.3,0.00,6.67,0.00,0.0,7.20,0.00,0.00,,9.0,0.00,0.00,0.00,1.33,1.33,0.20,-1.33,-1.33,Matches,82e34b69
115,Liam Delap,eng ENG,FW,Manchester City,18,2003,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,dd897ee7
116,Fabian Delph,eng ENG,MF,Everton,31,1989,7.4,0.00,0.27,0.00,0.0,0.27,0.00,0.00,,25.5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches,111c3236
117,Leander Dendoncker,be BEL,MF,Wolves,26,1995,21.7,0.09,01.06,0.46,43.5,01.06,0.46,0.09,0.20,15.2,0.00,0.00,0.00,0.12,0.12,0.11,-0.03,-0.03,Matches,5a7301ae
118,Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,28.7,0.35,2.13,0.94,44.3,2.13,0.94,0.16,0.37,14.9,0.21,0.00,0.00,0.26,0.26,0.12,0.09,0.09,Matches,2c44a35d
119,Kiernan Dewsbury Hall,eng ENG,MF,Leicester City,22,1998,23.4,0.04,0.90,0.13,14.3,0.90,0.13,0.05,0.33,20.7,0.04,0.00,0.00,0.06,0.06,0.06,-0.01,-0.01,Matches,5c74c0f5
120,Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,11.4,0.00,0.70,0.35,50.0,0.70,0.35,0.00,0.00,20.6,0.00,0.00,0.00,0.04,0.04,0.06,-0.04,-0.04,Matches,11ff3d56
121,Raphael Dias Belloli,br BRA,FWMF,Leeds United,24,1996,32.4,0.34,2.62,0.65,24.7,2.62,0.65,0.08,0.33,20.2,0.31,0.12,0.12,0.35,0.25,0.10,-0.01,-0.04,Matches,3423f250
122,Rúben Dias,pt POR,DF,Manchester City,24,1997,26.7,0.07,0.67,0.15,22.2,0.67,0.15,0.11,0.50,10.6,0.00,0.00,0.00,0.08,0.08,0.12,-0.01,-0.01,Matches,31c69ef1
123,Luis Díaz,co COL,FW,Liverpool,24,1997,10.6,0.38,3.58,1.32,36.8,3.57,1.32,0.11,0.29,16.0,0.00,0.00,0.00,0.42,0.42,0.12,-0.05,-0.05,Matches,4a1a9578
124,Eric Dier,eng ENG,DF,Tottenham,27,1994,34.1,0.00,0.38,0.12,30.8,0.38,0.12,0.00,0.00,13.5,0.12,0.00,0.00,0.03,0.03,0.08,-0.03,-0.03,Matches,ac861941
