Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
388,Ethan Pinnock,jm JAM,DF,Brentford,28,1993,29.9,0.03,0.60,0.27,44.4,0.60,0.27,0.06,0.13,9.0,0.00,0.00,0.00,0.05,0.05,0.08,-0.02,-0.02,Matches,e541326e
389,Daniel Podence,pt POR,FWMF,Wolves,25,1995,16.5,0.12,2.12,0.91,42.9,2.12,0.91,0.06,0.13,21.7,0.06,0.00,0.00,0.12,0.12,0.06,0.01,0.01,Matches,7fcc71d8
390,Paul Pogba,fr FRA,MFFW,Manchester Utd,28,1993,15.0,0.07,2.13,0.53,25.0,2.13,0.53,0.03,0.13,17.3,0.00,0.00,0.00,0.16,0.16,0.08,-0.09,-0.09,Matches,867239d3
391,Nick Pope,eng ENG,GK,Burnley,29,1992,36.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,4b40d9ca
392,Isaac Price,nir NIR,MF,Everton,17,2003,0.2,0.00,5.00,0.00,0.0,6.43,0.00,0.00,,7.8,0.00,0.00,0.00,1.00,1.00,0.16,-1.00,-1.00,Matches,b9403c99
393,Teemu Pukki,fi FIN,FW,Norwich City,31,1990,36.1,0.30,1.88,0.66,35.3,1.88,0.66,0.12,0.33,14.9,0.00,0.08,0.08,0.32,0.25,0.14,-0.01,-0.03,Matches,0745b37d
394,Christian Pulisic,us USA,MFFW,Chelsea,22,1998,14.3,0.42,1.96,0.77,39.3,1.95,0.77,0.21,0.55,12.9,0.00,0.00,0.00,0.36,0.36,0.18,0.06,0.06,Matches,1bf33a9a
395,Przemysław Płacheta,pl POL,FWMF,Norwich City,23,1998,5.6,0.00,1.43,1.25,87.5,1.43,1.25,0.00,0.00,16.7,0.00,0.00,0.00,0.09,0.09,0.07,-0.09,-0.09,Matches,3c33f9d9
396,Jesuran Rak Sakyi,eng ENG,FWMF,Crystal Palace,18,2002,0.9,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,45685411
397,Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,466fb2c5
398,Jacob Ramsey,eng ENG,MF,Aston Villa,20,2001,27.4,0.22,1.24,0.40,32.4,1.24,0.40,0.18,0.55,17.8,0.00,0.00,0.00,0.14,0.14,0.11,0.08,0.08,Matches,1544f145
399,Marcus Rashford,eng ENG,FWMF,Manchester Utd,23,1997,13.7,0.29,1.61,0.88,54.5,1.60,0.87,0.18,0.33,17.5,0.07,0.00,0.00,0.18,0.18,0.11,0.12,0.12,Matches,a1d5bd30
400,Milot Rashica,xk KVX,FWMF,Norwich City,25,1996,24.8,0.04,1.81,0.65,35.6,1.82,0.65,0.02,0.06,21.4,0.28,0.00,0.00,0.11,0.11,0.06,-0.07,-0.07,Matches,6c6a3300
401,David Raya,es ESP,GK,Brentford,25,1995,24.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,98ea5115
402,Nathan Redmond,eng ENG,MFFW,Southampton,27,1994,20.4,0.05,1.23,0.44,36.0,1.23,0.44,0.04,0.11,20.0,0.05,0.00,0.00,0.09,0.09,0.08,-0.04,-0.04,Matches,ab651565
403,Sergio Reguilón,es ESP,DF,Tottenham,24,1996,21.3,0.09,0.99,0.42,42.9,0.99,0.42,0.10,0.22,14.9,0.00,0.00,0.00,0.14,0.14,0.14,-0.05,-0.05,Matches,3353737a
404,Declan Rice,eng ENG,MF,West Ham,22,1999,35.3,0.03,0.74,0.23,30.8,0.74,0.23,0.04,0.13,21.7,0.03,0.00,0.00,0.03,0.03,0.04,-0.00,-0.00,Matches,1c7012b8
405,Taylor Richards,eng ENG,MFFW,Brighton,20,2000,0.3,0.00,3.33,0.00,0.0,3.60,0.00,0.00,,24.0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,Matches,e0243d23
406,Richarlison,br BRA,FWMF,Everton,24,1997,28.0,0.36,2.50,0.71,28.6,2.50,0.71,0.10,0.35,15.8,0.07,0.11,0.11,0.36,0.28,0.11,-0.01,-0.03,Matches,fa031b34
407,Jaïro Riedewald,nl NED,MF,Crystal Palace,24,1996,1.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,7a1f2c08
408,Matt Ritchie,sct SCO,DF,Newcastle Utd,31,1989,14.9,0.00,0.67,0.20,30.0,0.67,0.20,0.00,0.00,22.0,0.07,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches,71ef519e
409,Connor Roberts,wls WAL,DF,Burnley,25,1995,18.8,0.05,0.32,0.21,66.7,0.32,0.21,0.17,0.25,21.3,0.00,0.00,0.00,0.01,0.01,0.04,0.04,0.04,Matches,24fae784
410,Tyler Roberts,wls WAL,MFFW,Leeds United,22,1999,11.0,0.09,2.73,01.09,40.0,2.74,01.09,0.03,0.08,18.5,0.00,0.00,0.00,0.22,0.22,0.08,-0.13,-0.13,Matches,6c17e046
411,Andrew Robertson,sct SCO,DF,Liverpool,27,1994,28.2,0.11,0.64,0.28,44.4,0.64,0.28,0.17,0.38,17.2,0.00,0.00,0.00,0.07,0.07,0.10,0.04,0.04,Matches,2e4f5f03
412,Joe Rodon,wls WAL,DF,Tottenham,23,1997,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,8d62d31a
413,Rodri,es ESP,MF,Manchester City,25,1996,32.0,0.22,1.41,0.44,31.1,1.40,0.44,0.16,0.50,18.2,0.00,0.00,0.00,0.08,0.08,0.06,0.13,0.13,Matches,6434f10d
414,Rodrigo,es ESP,MFFW,Leeds United,30,1991,25.2,0.24,1.90,0.67,35.4,1.91,0.68,0.10,0.29,18.0,0.00,0.04,0.04,0.19,0.16,0.09,0.04,0.04,Matches,1fb1c435
