Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
439,Jeremy Sarmiento,ec ECU,FWMF,Brighton,19,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
440,Ismaila Sarr,sn SEN,FWMF,Watford,23,1998,20.7,5,38,15,39.5,1.84,0.73,0.13,0.33,18.2,0,0,1,4.2,3.5,0.09,+0.8,+1.5,Matches
441,Malang Sarr,fr FRA,DF,Chelsea,22,1999,6.1,0,1,0,0.0,0.16,0.00,0.00,,21.5,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
442,Dane Scarlett,eng ENG,MF,Tottenham,17,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
443,Fabian Schär,ch SUI,DF,Newcastle Utd,29,1991,24.0,2,20,6,30.0,0.83,0.25,0.10,0.33,16.9,3,0,0,1.3,1.3,0.07,+0.7,+0.7,Matches
444,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,28,1992,20.6,4,33,9,27.3,1.60,0.44,0.12,0.44,13.4,0,0,0,3.1,3.1,0.09,+0.9,+0.9,Matches
445,Kasper Schmeichel,dk DEN,GK,Leicester City,34,1986,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
446,Ken Sema,se SWE,MFFW,Watford,27,1993,9.5,0,3,1,33.3,0.32,0.11,0.00,0.00,21.1,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
447,Nélson Semedo,pt POR,DF,Wolves,27,1993,23.7,0,19,4,21.1,0.80,0.17,0.00,0.00,20.3,0,0,0,1.4,1.4,0.07,-1.4,-1.4,Matches
448,Ryan Sessegnon,eng ENG,DF,Tottenham,21,2000,11.6,0,6,1,16.7,0.52,0.09,0.00,0.00,13.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
449,Jamie Shackleton,eng ENG,DFMF,Leeds United,21,1999,7.9,0,4,1,25.0,0.51,0.13,0.00,0.00,18.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
450,Luke Shaw,eng ENG,DF,Manchester Utd,26,1995,17.8,0,6,1,16.7,0.34,0.06,0.00,0.00,23.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
451,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,29,1992,22.0,2,29,14,48.3,1.32,0.64,0.07,0.14,26.3,6,0,0,0.9,0.9,0.03,+1.1,+1.1,Matches
452,Shola Shoretire,eng ENG,FW,Manchester Utd,17,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
453,Francisco Sierralta,cl CHI,DF,Watford,24,1997,4.7,0,1,1,100.0,0.21,0.21,0.00,0.00,9.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
454,Bernardo Silva,pt POR,MFFW,Manchester City,26,1994,31.7,8,47,19,40.4,1.48,0.60,0.17,0.42,12.4,0,0,0,6.8,6.8,0.14,+1.2,+1.2,Matches
455,Fábio Silva,pt POR,FW,Wolves,19,2002,6.4,0,19,5,26.3,2.99,0.79,0.00,0.00,13.2,0,0,0,2.3,2.3,0.12,-2.3,-2.3,Matches
456,Thiago Silva,br BRA,DF,Chelsea,36,1984,29.4,3,18,5,27.8,0.61,0.17,0.17,0.60,10.7,0,0,0,0.9,0.9,0.05,+2.1,+2.1,Matches
457,Ellis Simms,eng ENG,FW,Everton,20,2001,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
458,Moussa Sissoko,fr FRA,MF,Watford,31,1989,35.8,2,25,8,32.0,0.70,0.22,0.08,0.25,16.4,0,0,0,3.4,3.4,0.14,-1.4,-1.4,Matches
